Step,Training Loss
1005,1.654200
1006,1.542100
1007,2.032900
1008,1.667200
1009,1.716200
1010,1.718000
1011,1.767300
1012,1.701000
1013,1.832300
1014,1.632300
1015,1.775900
1016,1.677400
1017,1.957600
1018,1.696600
1019,1.571200
1020,1.969700
1021,1.659700
1022,1.331000
1023,2.035700
1024,1.914200
1025,1.845900
1026,1.806200
1027,1.540600
1028,1.507500
1029,1.735500
1030,1.876200
1031,1.541000
1032,1.766800
1033,1.795100
1034,1.904200
1035,1.755800
1036,1.718300
1037,1.368100
1038,1.551500
1039,1.590000
1040,1.676000
1041,1.602100
1042,1.680400
1043,1.884800
1044,2.072400
1045,0.870900
1046,1.608800
1047,1.564600
1048,2.020800
1049,1.707000
1050,1.118200
1051,1.577800
1052,1.869000
1053,1.710600
1054,1.847200
1055,1.964400
1056,1.624600
1057,1.577400
1058,2.038000
1059,1.793200
1060,1.568100
1061,2.052300
1062,1.978000
1063,1.919500
1064,1.673100
1065,1.852900
1066,2.003300
1067,1.815600
1068,1.994800
1069,1.667200
1070,1.651000
1071,1.746500
1072,1.664600
1073,1.563300
1074,1.704500
1075,1.882600
1076,1.765400
1077,1.755000
1078,2.033800
1079,1.742600
1080,1.858000
1081,2.063500
1082,1.564900
1083,1.715500
1084,1.827600
1085,1.832000
1086,1.934200
1087,1.786700
1088,1.484800
1089,1.924300
1090,1.340900
1091,1.969500
1092,1.824300
1093,1.762100
1094,1.689100
1095,1.611300
1096,2.010000
1097,0.973900
1098,1.586000
1099,1.062100
1100,1.353900
1101,1.782500
1102,1.709500
1103,1.756700
1104,2.183300
1105,2.068000
1106,1.836100
1107,1.667400
1108,1.613200
1109,1.603000
1110,1.203300
1111,1.783000
1112,1.522700
1113,1.689300
1114,1.786400
1115,1.603700
1116,1.565800
1117,1.722700
1118,1.979300
1119,2.057200
1120,1.912600
1121,1.437100
1122,1.888200
1123,1.977700
1124,1.623000
1125,1.950100
1126,1.348200
1127,1.961900
1128,1.384400
1129,1.874200
1130,1.847400
1131,1.710800
1132,1.697900
1133,1.510400
1134,1.729000
1135,1.854000
1136,1.659100
1137,1.629100
1138,1.673200
1139,1.908100
1140,1.544600
1141,1.791900
1142,1.364900
1143,2.221300
1144,1.483800
1145,1.814800
1146,1.620600
1147,1.674300
1148,1.669200
1149,1.610500
1150,1.951500
1151,1.680700
1152,1.766400
1153,1.894100
1154,1.457000
1155,1.748200
1156,1.949200
1157,1.618100
1158,1.482800
1159,1.895700
1160,1.120300
1161,1.424300
1162,1.326500
1163,0.575000
1164,1.429400
1165,1.803300
1166,1.702600
1167,1.713900
1168,1.790000
1169,1.575400
1170,1.943500
1171,1.680400
1172,1.765100
1173,1.544800
1174,1.612200
1175,1.730200
1176,1.713000
1177,2.261200
1178,1.921700
1179,1.974400
1180,1.919800
1181,1.954100
1182,1.841400
1183,1.955800
1184,1.372800
1185,2.203700
1186,1.630700
1187,1.814600
1188,1.771000
1189,1.559900
1190,1.935700
1191,1.466800
1192,1.625000
1193,1.227400
1194,1.225800
1195,1.922900
1196,1.929200
1197,1.853800
